present_time Collisions Collision_rate
235.000000 309 1.31489
236.000000 310 1.31356
237.000000 310 1.30802
238.000000 311 1.30672
239.000000 312 1.30544
240.000000 313 1.30417
241.000000 313 1.29876
242.000000 313 1.29339
243.000000 313 1.28807
244.000000 313 1.28279
245.000000 313 1.27755
246.000000 313 1.27236
247.000000 313 1.26721
248.000000 313 1.2621
249.000000 314 1.26104
250.000000 315 1.26
251.000000 316 1.25896
252.000000 317 1.25794
253.000000 317 1.25296
254.000000 317 1.24803
255.000000 317 1.24314
256.000000 318 1.24219
257.000000 318 1.23735
258.000000 319 1.23643
259.000000 321 1.23938
260.000000 321 1.23462
261.000000 321 1.22989
262.000000 321 1.22519
263.000000 321 1.22053
264.000000 321 1.21591
265.000000 321 1.21132
266.000000 321 1.20677
267.000000 321 1.20225
268.000000 321 1.19776
269.000000 322 1.19703
270.000000 322 1.19259
271.000000 323 1.19188
272.000000 323 1.1875
273.000000 323 1.18315
274.000000 323 1.17883
275.000000 323 1.17455
276.000000 324 1.17391
277.000000 325 1.17329
278.000000 325 1.16906
279.000000 327 1.17204
280.000000 329 1.175
281.000000 330 1.17438
282.000000 331 1.17376
283.000000 331 1.16961
284.000000 331 1.16549
285.000000 331 1.1614
286.000000 332 1.16084
287.000000 332 1.15679
288.000000 332 1.15278
289.000000 332 1.14879
290.000000 334 1.15172
291.000000 335 1.1512
292.000000 336 1.15068
293.000000 338 1.15358
294.000000 340 1.15646
295.000000 343 1.16271
296.000000 345 1.16554
297.000000 348 1.17172
298.000000 350 1.1745
299.000000 352 1.17726
300.000000 354 1.18
301.000000 356 1.18272
302.000000 357 1.18212
303.000000 357 1.17822
304.000000 357 1.17434
305.000000 357 1.17049
306.000000 357 1.16667
307.000000 357 1.16287
308.000000 357 1.15909
309.000000 357 1.15534
310.000000 357 1.15161
311.000000 357 1.14791
312.000000 357 1.14423
313.000000 358 1.14377
314.000000 358 1.14013
315.000000 360 1.14286
316.000000 360 1.13924
317.000000 360 1.13565
318.000000 361 1.13522
319.000000 362 1.1348
320.000000 363 1.13437
321.000000 363 1.13084
322.000000 364 1.13043
323.000000 365 1.13003
324.000000 367 1.13272
325.000000 368 1.13231
326.000000 370 1.13497
327.000000 370 1.1315
328.000000 372 1.13415
329.000000 375 1.13982
330.000000 376 1.13939
331.000000 377 1.13897
332.000000 379 1.14157
333.000000 381 1.14414
334.000000 384 1.1497
335.000000 386 1.15224
336.000000 386 1.14881
337.000000 387 1.14837
338.000000 387 1.14497
339.000000 388 1.14454
340.000000 389 1.14412
341.000000 389 1.14076
342.000000 389 1.13743
343.000000 389 1.13411
344.000000 389 1.13081
345.000000 391 1.13333
346.000000 393 1.13584
347.000000 393 1.13256
348.000000 393 1.12931
349.000000 395 1.13181
350.000000 395 1.12857
351.000000 395 1.12536
352.000000 395 1.12216
353.000000 395 1.11898
354.000000 395 1.11582
355.000000 395 1.11268
356.000000 395 1.10955
357.000000 395 1.10644
358.000000 396 1.10615
359.000000 397 1.10585
360.000000 397 1.10278
361.000000 397 1.09972
362.000000 397 1.09669
363.000000 397 1.09366
364.000000 397 1.09066
365.000000 397 1.08767
366.000000 397 1.0847
367.000000 397 1.08174
368.000000 397 1.0788
369.000000 397 1.07588
370.000000 397 1.07297
371.000000 397 1.07008
372.000000 397 1.0672
373.000000 397 1.06434
374.000000 398 1.06417
375.000000 398 1.06133
376.000000 398 1.05851
377.000000 398 1.0557
378.000000 399 1.05556
379.000000 399 1.05277
380.000000 400 1.05263
381.000000 400 1.04987
382.000000 401 1.04974
383.000000 401 1.047
384.000000 401 1.04427
385.000000 403 1.04675
386.000000 405 1.04922
387.000000 405 1.04651
388.000000 406 1.04639
389.000000 406 1.0437
390.000000 406 1.04103
391.000000 406 1.03836
392.000000 406 1.03571
393.000000 406 1.03308
394.000000 406 1.03046
395.000000 406 1.02785
396.000000 406 1.02525
397.000000 406 1.02267
398.000000 406 1.0201
399.000000 406 1.01754
400.000000 406 1.015
401.000000 407 1.01496
402.000000 408 1.01493
403.000000 409 1.01489
404.000000 409 1.01238
405.000000 409 1.00988
406.000000 409 1.00739
407.000000 409 1.00491
408.000000 409 1.00245
409.000000 409 1
410.000000 410 1
411.000000 412 1.00243
412.000000 414 1.00485
413.000000 416 1.00726
414.000000 419 1.01208
415.000000 421 1.01446
416.000000 422 1.01442
417.000000 423 1.01439
418.000000 424 1.01435
419.000000 424 1.01193
420.000000 425 1.0119
421.000000 425 1.0095
422.000000 425 1.00711
423.000000 426 1.00709
424.000000 427 1.00708
425.000000 428 1.00706
426.000000 429 1.00704
427.000000 429 1.00468
428.000000 429 1.00234
429.000000 429 1
430.000000 430 1
431.000000 430 0.99768
432.000000 430 0.99537
433.000000 430 0.993072
434.000000 430 0.990783
435.000000 431 0.990805
436.000000 432 0.990826
437.000000 434 0.993135
438.000000 435 0.993151
439.000000 435 0.990888
440.000000 436 0.990909
441.000000 437 0.99093
442.000000 438 0.99095
443.000000 440 0.993228
444.000000 441 0.993243
445.000000 443 0.995506
446.000000 446 1
447.000000 447 1
448.000000 448 1
449.000000 448 0.997773
450.000000 449 0.997778
451.000000 450 0.997783
452.000000 450 0.995575
453.000000 452 0.997792
454.000000 454 1
455.000000 454 0.997802
456.000000 454 0.995614
457.000000 455 0.995624
458.000000 456 0.995633
459.000000 457 0.995643
460.000000 458 0.995652
461.000000 458 0.993492
462.000000 458 0.991342
463.000000 459 0.991361
464.000000 460 0.991379
465.000000 460 0.989247
466.000000 460 0.987124
467.000000 460 0.985011
468.000000 462 0.987179
469.000000 463 0.987207
470.000000 464 0.987234
471.000000 464 0.985138
472.000000 464 0.983051
473.000000 464 0.980973
474.000000 464 0.978903
475.000000 464 0.976842
476.000000 464 0.97479
477.000000 465 0.974843
478.000000 466 0.974895
479.000000 466 0.97286
480.000000 466 0.970833
481.000000 467 0.970894
482.000000 468 0.970954
483.000000 469 0.971014
484.000000 470 0.971074
485.000000 471 0.971134
486.000000 471 0.969136
487.000000 472 0.969199
488.000000 474 0.971311
489.000000 476 0.973415
490.000000 478 0.97551
491.000000 479 0.97556
492.000000 480 0.97561
493.000000 481 0.975659
494.000000 481 0.973684
495.000000 481 0.971717
496.000000 481 0.969758
497.000000 481 0.967807
498.000000 481 0.965863
499.000000 481 0.963928
500.000000 481 0.962
501.000000 481 0.96008
502.000000 481 0.958167
503.000000 481 0.956262
504.000000 481 0.954365
505.000000 481 0.952475
506.000000 481 0.950593
507.000000 481 0.948718
508.000000 482 0.948819
509.000000 482 0.946955
510.000000 483 0.947059
511.000000 483 0.945205
512.000000 484 0.945312
513.000000 485 0.945419
514.000000 485 0.94358
515.000000 485 0.941748
516.000000 485 0.939922
517.000000 485 0.938104
518.000000 485 0.936293
519.000000 485 0.934489
520.000000 485 0.932692
521.000000 485 0.930902
522.000000 485 0.929119
523.000000 486 0.929254
524.000000 487 0.929389
525.000000 488 0.929524
526.000000 489 0.929658
527.000000 489 0.927894
528.000000 489 0.926136
529.000000 489 0.924386
530.000000 489 0.922642
531.000000 489 0.920904
532.000000 489 0.919173
533.000000 489 0.917448
534.000000 489 0.91573
535.000000 489 0.914019
536.000000 490 0.914179
537.000000 490 0.912477
538.000000 490 0.910781
539.000000 490 0.909091
540.000000 490 0.907407
541.000000 490 0.90573
542.000000 490 0.904059
543.000000 490 0.902394
544.000000 490 0.900735
545.000000 490 0.899083
546.000000 490 0.897436
547.000000 490 0.895795
548.000000 490 0.894161
549.000000 491 0.894353
550.000000 491 0.892727
551.000000 491 0.891107
552.000000 491 0.889493
553.000000 491 0.887884
554.000000 493 0.889892
555.000000 494 0.89009
556.000000 495 0.890288
557.000000 495 0.888689
558.000000 495 0.887097
559.000000 495 0.88551
560.000000 495 0.883929
561.000000 495 0.882353
562.000000 495 0.880783
563.000000 495 0.879218
564.000000 495 0.87766
565.000000 496 0.877876
566.000000 497 0.878092
567.000000 498 0.878307
568.000000 498 0.876761
569.000000 498 0.87522
570.000000 498 0.873684
571.000000 499 0.873905
572.000000 500 0.874126
573.000000 501 0.874346
574.000000 502 0.874564
575.000000 502 0.873043
576.000000 502 0.871528
577.000000 502 0.870017
578.000000 503 0.870242
579.000000 504 0.870466
580.000000 504 0.868966
581.000000 504 0.86747
582.000000 504 0.865979
583.000000 504 0.864494
584.000000 504 0.863014
585.000000 504 0.861538
586.000000 504 0.860068
587.000000 504 0.858603
588.000000 504 0.857143
589.000000 504 0.855688
590.000000 504 0.854237
591.000000 504 0.852792
592.000000 504 0.851351
593.000000 504 0.849916
594.000000 504 0.848485
595.000000 505 0.848739
596.000000 506 0.848993
597.000000 507 0.849246
598.000000 508 0.849498
599.000000 509 0.84975
600.000000 509 0.848333
601.000000 510 0.848586
602.000000 510 0.847176
603.000000 510 0.845771
604.000000 510 0.844371
605.000000 510 0.842975
606.000000 510 0.841584
607.000000 510 0.840198
608.000000 510 0.838816
609.000000 510 0.837438
610.000000 510 0.836066
611.000000 510 0.834697
612.000000 510 0.833333
613.000000 510 0.831974
614.000000 510 0.830619
615.000000 510 0.829268
616.000000 510 0.827922
617.000000 510 0.82658
618.000000 510 0.825243
619.000000 510 0.82391
620.000000 510 0.822581
621.000000 510 0.821256
622.000000 510 0.819936
623.000000 510 0.81862
624.000000 510 0.817308
625.000000 510 0.816
626.000000 510 0.814696
627.000000 510 0.813397
628.000000 510 0.812102
629.000000 510 0.810811
630.000000 510 0.809524
631.000000 510 0.808241
632.000000 510 0.806962
633.000000 510 0.805687
634.000000 510 0.804416
635.000000 510 0.80315
636.000000 510 0.801887
637.000000 510 0.800628
638.000000 510 0.799373
639.000000 510 0.798122
640.000000 510 0.796875
641.000000 511 0.797192
642.000000 512 0.797508
643.000000 513 0.797823
644.000000 514 0.798137
645.000000 515 0.79845
646.000000 516 0.798762
647.000000 516 0.797527
648.000000 516 0.796296
649.000000 516 0.795069
650.000000 516 0.793846
651.000000 516 0.792627
652.000000 517 0.792945
653.000000 518 0.793262
654.000000 519 0.793578
655.000000 519 0.792366
656.000000 519 0.791159
657.000000 519 0.789954
658.000000 519 0.788754
659.000000 519 0.787557
660.000000 519 0.786364
661.000000 519 0.785174
662.000000 519 0.783988
663.000000 519 0.782805
664.000000 519 0.781627
665.000000 519 0.780451
666.000000 519 0.779279
667.000000 519 0.778111
668.000000 519 0.776946
669.000000 519 0.775785
670.000000 520 0.776119
671.000000 520 0.774963
672.000000 521 0.775298
673.000000 522 0.775632
674.000000 522 0.774481
675.000000 522 0.773333
676.000000 522 0.772189
677.000000 522 0.771049
678.000000 522 0.769912
679.000000 522 0.768778
680.000000 522 0.767647
681.000000 522 0.76652
682.000000 522 0.765396
683.000000 522 0.764275
684.000000 522 0.763158
685.000000 522 0.762044
686.000000 522 0.760933
687.000000 523 0.761281
688.000000 523 0.760174
689.000000 523 0.759071
690.000000 523 0.757971
691.000000 523 0.756874
692.000000 523 0.75578
693.000000 523 0.75469
694.000000 523 0.753602
695.000000 523 0.752518
696.000000 523 0.751437
697.000000 523 0.750359
698.000000 523 0.749284
699.000000 523 0.748212
700.000000 523 0.747143
701.000000 523 0.746077
702.000000 523 0.745014
703.000000 523 0.743954
704.000000 523 0.742898
705.000000 523 0.741844
706.000000 523 0.740793
707.000000 523 0.739745
708.000000 524 0.740113
709.000000 524 0.739069
710.000000 524 0.738028
711.000000 524 0.73699
712.000000 524 0.735955
713.000000 524 0.734923
714.000000 524 0.733894
715.000000 524 0.732867
716.000000 524 0.731844
717.000000 524 0.730823
718.000000 524 0.729805
719.000000 524 0.72879
720.000000 524 0.727778
721.000000 524 0.726768
722.000000 524 0.725762
723.000000 524 0.724758
724.000000 524 0.723757
725.000000 524 0.722759
726.000000 524 0.721763
727.000000 524 0.72077
728.000000 524 0.71978
729.000000 524 0.718793
730.000000 524 0.717808
731.000000 524 0.716826
732.000000 524 0.715847
733.000000 524 0.71487
734.000000 524 0.713896
735.000000 525 0.714286
736.000000 525 0.713315
737.000000 525 0.712347
738.000000 525 0.711382
739.000000 525 0.710419
740.000000 525 0.709459
741.000000 525 0.708502
742.000000 526 0.708895
743.000000 526 0.707941
744.000000 526 0.706989
745.000000 527 0.707383
746.000000 528 0.707775
747.000000 529 0.708166
