present_time collisions collision_rate
0.100000 0 0
1.100000 0 0
2.100000 0 0
3.100000 0 0
4.100000 0 0
5.100000 0 0
6.100000 0 0
7.100000 0 0
8.100000 0 0
9.100000 0 0
10.100000 0 0
11.100000 0 0
12.100000 0 0
13.100000 0 0
14.100000 0 0
15.100000 0 0
16.100000 0 0
17.100000 0 0
18.100000 0 0
19.100000 0 0
20.100000 0 0
21.100000 0 0
22.100000 0 0
23.100000 0 0
24.100000 0 0
25.100000 1 0.0377358
26.100000 1 0.0377358
27.100000 2 0.0701754
28.100000 2 0.0701754
29.100000 3 0.0983607
30.100000 3 0.0983607
31.100000 4 0.123077
32.100000 4 0.123077
33.100000 5 0.144928
34.100000 5 0.144928
35.100000 6 0.164384
36.100000 6 0.164384
37.100000 7 0.181818
38.100000 7 0.181818
39.100000 8 0.197531
40.100000 8 0.197531
41.100000 9 0.211765
42.100000 9 0.211765
43.100000 10 0.224719
44.100000 10 0.224719
45.100000 17 0.365591
46.100000 17 0.365591
47.100000 24 0.494845
48.100000 24 0.494845
49.100000 31 0.613861
50.100000 31 0.613861
51.100000 38 0.72381
52.100000 38 0.72381
53.100000 45 0.825688
54.100000 45 0.825688
55.100000 52 0.920354
56.100000 52 0.920354
57.100000 59 1.00855
58.100000 59 1.00855
59.100000 66 1.09091
60.100000 66 1.09091
61.100000 73 1.168
62.100000 73 1.168
63.100000 80 1.24031
64.100000 80 1.24031
65.100000 87 1.30827
66.100000 87 1.30827
67.100000 94 1.37226
68.100000 94 1.37226
69.100000 101 1.43262
70.100000 101 1.43262
71.100000 108 1.48966
72.100000 108 1.48966
73.100000 115 1.54362
74.100000 115 1.54362
75.100000 122 1.59477
76.100000 122 1.59477
77.100000 129 1.64331
78.100000 129 1.64331
79.100000 136 1.68944
80.100000 136 1.68944
81.100000 143 1.73333
82.100000 143 1.73333
83.100000 150 1.77515
84.100000 150 1.77515
85.100000 157 1.81503
86.100000 157 1.81503
87.100000 164 1.85311
88.100000 164 1.85311
89.100000 171 1.8895
90.100000 171 1.8895
91.100000 178 1.92432
92.100000 178 1.92432
93.100000 185 1.95767
94.100000 185 1.95767
95.100000 192 1.98964
96.100000 192 1.98964
97.100000 199 2.0203
98.100000 199 2.0203
99.100000 206 2.04975
100.100000 206 2.04975
101.100000 213 2.07805
102.100000 213 2.07805
103.100000 220 2.10526
104.100000 220 2.10526
105.100000 227 2.13146
106.100000 227 2.13146
107.100000 234 2.15668
108.100000 234 2.15668
109.100000 241 2.181
110.100000 241 2.181
111.100000 248 2.20444
112.100000 248 2.20444
113.100000 255 2.22707
114.100000 255 2.22707
115.100000 262 2.24893
116.100000 262 2.24893
117.100000 269 2.27004
118.100000 269 2.27004
119.100000 276 2.29046
120.100000 276 2.29046
121.100000 283 2.3102
122.100000 283 2.3102
123.100000 290 2.32932
124.100000 290 2.32932
125.100000 297 2.34783
126.100000 297 2.34783
127.100000 304 2.36576
128.100000 304 2.36576
129.100000 311 2.38314
130.100000 311 2.38314
131.100000 318 2.4
132.100000 318 2.4
133.100000 325 2.41636
134.100000 325 2.41636
135.100000 332 2.43223
136.100000 332 2.43223
137.100000 339 2.44765
138.100000 339 2.44765
139.100000 346 2.46263
140.100000 346 2.46263
141.100000 353 2.47719
142.100000 353 2.47719
143.100000 360 2.49135
144.100000 360 2.49135
145.100000 367 2.50512
146.100000 367 2.50512
147.100000 374 2.51852
148.100000 374 2.51852
149.100000 381 2.53156
150.100000 381 2.53156
151.100000 388 2.54426
152.100000 388 2.54426
153.100000 395 2.55663
154.100000 395 2.55663
155.100000 402 2.56869
156.100000 402 2.56869
157.100000 409 2.58044
158.100000 409 2.58044
159.100000 416 2.5919
160.100000 416 2.5919
161.100000 423 2.60308
162.100000 423 2.60308
163.100000 430 2.61398
164.100000 430 2.61398
165.100000 437 2.62462
166.100000 437 2.62462
167.100000 444 2.63501
168.100000 444 2.63501
169.100000 451 2.64516
170.100000 451 2.64516
171.100000 458 2.65507
172.100000 458 2.65507
173.100000 465 2.66476
174.100000 465 2.66476
175.100000 472 2.67422
176.100000 472 2.67422
177.100000 479 2.68347
178.100000 479 2.68347
179.100000 486 2.69252
180.100000 486 2.69252
181.100000 493 2.70137
182.100000 493 2.70137
183.100000 500 2.71003
184.100000 500 2.71003
185.100000 507 2.7185
186.100000 507 2.7185
187.100000 514 2.72679
188.100000 514 2.72679
189.100000 521 2.73491
190.100000 521 2.73491
191.100000 528 2.74286
192.100000 528 2.74286
193.100000 535 2.75064
194.100000 535 2.75064
195.100000 542 2.75827
196.100000 542 2.75827
197.100000 549 2.76574
198.100000 549 2.76574
199.100000 556 2.77307
200.100000 556 2.77307
201.100000 563 2.78025
202.100000 563 2.78025
203.100000 570 2.78729
204.100000 570 2.78729
205.100000 577 2.79419
206.100000 577 2.79419
207.100000 584 2.80096
208.100000 584 2.80096
209.100000 591 2.8076
210.100000 591 2.8076
211.100000 598 2.81412
212.100000 598 2.81412
213.100000 605 2.82051
214.100000 605 2.82051
215.100000 612 2.82679
216.100000 612 2.82679
217.100000 619 2.83295
218.100000 619 2.83295
219.100000 626 2.839
220.100000 626 2.839
221.100000 633 2.84494
222.100000 633 2.84494
223.100000 640 2.85078
224.100000 640 2.85078
225.100000 647 2.85651
226.100000 647 2.85651
227.100000 654 2.86214
228.100000 654 2.86214
229.100000 661 2.86768
230.100000 661 2.86768
231.100000 668 2.87312
232.100000 668 2.87312
233.100000 675 2.87846
234.100000 675 2.87846
235.100000 682 2.88372
236.100000 682 2.88372
237.100000 689 2.88889
238.100000 689 2.88889
239.100000 696 2.89397
240.100000 696 2.89397
241.100000 703 2.89897
242.100000 703 2.89897
243.100000 710 2.90389
244.100000 710 2.90389
245.100000 717 2.90872
246.100000 717 2.90872
247.100000 724 2.91348
248.100000 724 2.91348
249.100000 731 2.91816
250.100000 731 2.91816
251.100000 738 2.92277
252.100000 738 2.92277
253.100000 745 2.92731
254.100000 745 2.92731
255.100000 752 2.93177
256.100000 752 2.93177
257.100000 759 2.93617
258.100000 759 2.93617
259.100000 766 2.9405
260.100000 766 2.9405
261.100000 773 2.94476
262.100000 773 2.94476
263.100000 780 2.94896
264.100000 780 2.94896
265.100000 787 2.9531
266.100000 787 2.9531
267.100000 794 2.95717
268.100000 794 2.95717
269.100000 801 2.96118
270.100000 801 2.96118
271.100000 808 2.96514
272.100000 808 2.96514
273.100000 815 2.96903
274.100000 815 2.96903
275.100000 822 2.97288
276.100000 822 2.97288
277.100000 829 2.97666
278.100000 829 2.97666
279.100000 836 2.98039
280.100000 836 2.98039
281.100000 843 2.98407
282.100000 843 2.98407
283.100000 850 2.9877
284.100000 850 2.9877
285.100000 857 2.99127
286.100000 857 2.99127
287.100000 864 2.9948
288.100000 864 2.9948
289.100000 871 2.99828
290.100000 871 2.99828
291.100000 878 3.00171
292.100000 878 3.00171
293.100000 885 3.00509
294.100000 885 3.00509
295.100000 892 3.00843
296.100000 892 3.00843
297.100000 899 3.01173
298.100000 899 3.01173
299.100000 906 3.01498
300.100000 906 3.01498
301.100000 913 3.01818
302.100000 913 3.01818
303.100000 920 3.02135
304.100000 920 3.02135
305.100000 927 3.02447
306.100000 927 3.02447
307.100000 934 3.02755
308.100000 934 3.02755
